"","year","Flux","Tg"
"159",40,"Mineralization",197.464972678241
"160",40,"Deposition",27
"161",41,"Fixation",103.080663999223
"162",41,"Leaching",-13.8956994019845
"163",41,"Mineralization",197.902275114523
"164",41,"Deposition",27
"165",42,"Fixation",103.539954639215
"166",42,"Leaching",-13.7554726740043
"167",42,"Mineralization",198.343950575168
"168",42,"Deposition",27
"169",43,"Fixation",104.003838185607
"170",43,"Leaching",-13.6138436787444
"171",43,"Mineralization",198.79004279042
"172",43,"Deposition",27
"173",44,"Fixation",104.472360567463
"174",44,"Leaching",-13.4707983935318
"175",44,"Mineralization",199.240595927824
"176",44,"Deposition",27
"177",45,"Fixation",104.945568173138
"178",45,"Leaching",-13.3263226554671
"179",45,"Mineralization",199.695654596603
"180",45,"Deposition",27
"181",46,"Fixation",105.423507854869
"182",46,"Leaching",-13.1804021600218
"183",46,"Mineralization",200.155263852069
"184",46,"Deposition",27
"185",47,"Fixation",105.906226933418
"186",47,"Leaching",-13.033022459622
"187",47,"Mineralization",200.619469200089
"188",47,"Deposition",27
"189",48,"Fixation",106.393773202752
"190",48,"Leaching",-12.8841689622182
"191",48,"Mineralization",201.08831660159
"192",48,"Deposition",27
"193",49,"Fixation",106.88619493478
"194",49,"Leaching",-12.7338269298404
"195",49,"Mineralization",201.561852477106
"196",49,"Deposition",27
"197",50,"Fixation",107.383540884128
"198",50,"Leaching",-12.5819814771388
"199",50,"Mineralization",202.040123711377
"200",50,"Deposition",27
"201",51,"Fixation",107.885860292969
"202",51,"Leaching",-12.4286175699102
"203",51,"Mineralization",202.523177657991
"204",51,"Deposition",27
"205",52,"Fixation",108.393202895899
"206",52,"Leaching",-12.2737200236093
"207",52,"Mineralization",203.011062144071
"208",52,"Deposition",27
"209",53,"Fixation",108.905618924858
"210",53,"Leaching",-12.1172735018454
"211",53,"Mineralization",203.503825475012
"212",53,"Deposition",27
"213",54,"Fixation",109.423159114106
"214",54,"Leaching",-11.9592625148639
"215",54,"Mineralization",204.001516439262
"216",54,"Deposition",27
"217",55,"Fixation",109.945874705247
"218",55,"Leaching",-11.7996714180125
"219",55,"Mineralization",204.504184313154
"220",55,"Deposition",27
"221",56,"Fixation",110.4738174523
"222",56,"Leaching",-11.6384844101926
"223",56,"Mineralization",205.011878865786
"224",56,"Deposition",27
"225",57,"Fixation",111.007039626823
"226",57,"Leaching",-11.4756855322946
"227",57,"Mineralization",205.524650363944
"228",57,"Deposition",27
"229",58,"Fixation",111.545594023091
"230",58,"Leaching",-11.3112586656175
"231",58,"Mineralization",206.042549577083
"232",58,"Deposition",27
"233",59,"Fixation",112.089533963322
"234",59,"Leaching",-11.1451875302737
"235",59,"Mineralization",206.565627782354
"236",59,"Deposition",27
"237",60,"Fixation",112.638913302955
"238",60,"Leaching",-10.9774556835764
"239",60,"Mineralization",207.093936769677
"240",60,"Deposition",27
"241",61,"Fixation",113.193786435985
"242",61,"Leaching",-10.8080465184122
"243",61,"Mineralization",207.627528846874
"244",61,"Deposition",27
"245",62,"Fixation",113.754208300344
"246",62,"Leaching",-10.6369432615963
"247",62,"Mineralization",208.166456844843
"248",62,"Deposition",27
"249",63,"Fixation",114.320234383348
"250",63,"Leaching",-10.4641289722123
"251",63,"Mineralization",208.710774122791
"252",63,"Deposition",27
"253",64,"Fixation",114.891920727181
"254",64,"Leaching",-10.2895865399344
"255",64,"Mineralization",209.260534573519
"256",64,"Deposition",27
"257",65,"Fixation",115.469323934453
"258",65,"Leaching",-10.1132986833337
"259",65,"Mineralization",209.815792628755
"260",65,"Deposition",27
"261",66,"Fixation",116.052501173798
"262",66,"Leaching",-9.93524794816707
"263",66,"Mineralization",210.376603264542
"264",66,"Deposition",27
"265",67,"Fixation",116.641510185536
"266",67,"Leaching",-9.75541670564874
"267",67,"Mineralization",210.943022006687
"268",67,"Deposition",27
"269",68,"Fixation",117.236409287391
"270",68,"Leaching",-9.57378715070523
"271",68,"Mineralization",211.515104936254
"272",68,"Deposition",27
"273",69,"Fixation",117.837257380265
"274",69,"Leaching",-9.39034130021228
"275",69,"Mineralization",212.092908695117
"276",69,"Deposition",27
"277",70,"Fixation",118.444113954068
"278",70,"Leaching",-9.2050609912144
"279",70,"Mineralization",212.676490491568
"280",70,"Deposition",27
"281",71,"Fixation",119.057039093608
"282",71,"Leaching",-9.01792787912654
"283",71,"Mineralization",213.265908105984
"284",71,"Deposition",27
"285",72,"Fixation",119.676093484544
"286",72,"Leaching",-8.82892343591781
"287",72,"Mineralization",213.861219896544
"288",72,"Deposition",27
"289",73,"Fixation",120.30133841939
"290",73,"Leaching",-8.63802894827699
"291",73,"Mineralization",214.462484805009
"292",73,"Deposition",27
"293",74,"Fixation",120.932835803584
"294",74,"Leaching",-8.44522551575976
"295",74,"Mineralization",215.069762362559
"296",74,"Deposition",27
"297",75,"Fixation",121.570648161619
"298",75,"Leaching",-8.25049404891736
"299",75,"Mineralization",215.683112695685
"300",75,"Deposition",27
"301",76,"Fixation",122.214838643236
"302",76,"Leaching",-8.05381526740653
"303",76,"Mineralization",216.302596532142
"304",76,"Deposition",27
"305",77,"Fixation",122.865471029668
"306",77,"Leaching",-7.85516969808059
"307",77,"Mineralization",216.928275206963
"308",77,"Deposition",27
"309",78,"Fixation",123.522609739965
"310",78,"Leaching",-7.6545376730614
"311",78,"Mineralization",217.560210668533
"312",78,"Deposition",27
"313",79,"Fixation",124.186319837364
"314",79,"Leaching",-7.45189932779201
"315",79,"Mineralization",218.198465484718
"316",79,"Deposition",27
"317",80,"Fixation",124.856667035738
"318",80,"Leaching",-7.24723459906994
"319",80,"Mineralization",218.843102849065
"320",80,"Deposition",27
"321",81,"Fixation",125.533717706095
"322",81,"Leaching",-7.04052322306063
"323",81,"Mineralization",219.494186587056
"324",81,"Deposition",27
"325",82,"Fixation",126.217538883156
"326",82,"Leaching",-6.83174473329124
"327",82,"Mineralization",220.151781162426
"328",82,"Deposition",27
"329",83,"Fixation",126.908198271988
"330",83,"Leaching",-6.62087845862415
"331",83,"Mineralization",220.815951683551
"332",83,"Deposition",27
"333",84,"Fixation",127.605764254708
"334",84,"Leaching",-6.4079035212104
"335",84,"Mineralization",221.486763909886
"336",84,"Deposition",27
"337",85,"Fixation",128.310305897255
"338",85,"Leaching",-6.1927988344225
"339",85,"Mineralization",222.164284258485
"340",85,"Deposition",27
"341",86,"Fixation",129.021892956227
"342",86,"Leaching",-5.97554310076672
"343",86,"Mineralization",222.84857981057
"344",86,"Deposition",27
