Experiment,dX,Carbon Pool,SE.amb,SE.elev,X.amb,X.elev,RR,n.amb,n.elev,SE.diff,sig_thresh,t,p
Duke Hardwood,435,SOC,163.37074401495514,179.0111728356641,3791,4226,0.10862608265966717,4,4,242.35304825811454,475.0119745859045,1.794902119558693,0.17054867013631234
BioCON,25.08800000000042,SOC,27.643530888799283,29.947158462865886,1096.1019999999999,1121.1900000000003,0.02263037136446969,3,3,40.75533216647854,79.88045104629794,0.6155758931744256,0.6008919970200493
GiFACE,20,SOC,782.8869650211326,585.4331729582806,3670,3690,0.005434795985956995,3,3,977.5704578187704,1916.03809732479,0.020458883387930445,0.9855348983913053
TasFACE,719.9999999999995,SOC,234,288,3528.0000000000005,4248,0.18571714579509266,6,6,371.07950630558946,727.3158323589553,1.9402850002906629,0.1100306761801947
Nevada FACE,280.2800000000001,SOC,151.58,117.832,745.602,1025.882,0.3191160635987809,3,3,191.99186603603812,376.3040574306347,1.4598535124784386,0.2817549758186781
Jasper Ridge FACE,306.10000000000014,SOC,116.67,166.6525,1893.7,2199.8,0.14983385985415693,4,4,203.43289964076607,398.72848329590147,1.504673042268629,0.22946516496237618
Merrit Island,-101,SOC,362,333,1512,1411,-0.06913460488666424,8,8,491.86685190201626,964.0590297279518,-0.20534012326596057,0.8431500639244995
New Zealand,100,SOC,121,167,2722,2822,0.03607894920134788,3,3,206.22802913280242,404.20693710029275,0.4849001390378613,0.6756595648667858
EucFACE,99,SOC,280,266,2183,2282,0.04435217387207712,3,3,386.2071982757442,756.9661086204586,0.25633908544945344,0.8216470967205004
Aspen,244,Ecosystem,745.627205780476,293.4328884089171,10378.6,10622.6,0.023237813060106118,12,12,801.2882065773838,1570.5248848916722,0.3045096608150764,0.7664232131165012
Aspen Birch ,889.2999999999993,Ecosystem,456.50288060427397,732.1054842029255,8381.2,9270.5,0.10084621322295506,12,12,862.770722729973,1691.030616550747,1.0307489308238027,0.32478981159286235
Aspen Maple,878.2999999999993,Ecosystem,451.33639339189125,550.6773919455928,8531.7,9410,0.09798431535039512,12,12,712.0043047622677,1395.5284373340446,1.2335599576090435,0.2430755475622796
BioCON,76.08800000000042,Ecosystem,27.877675656338354,30.279238761897563,1448.1019999999999,1524.1900000000003,0.05120938793801327,3,3,41.1581960246073,80.6700642082303,1.8486718891787581,0.2057506646975887
Duke Hardwood,1420.8722386999998,Ecosystem,295.16084880100806,419.59691475469066,5337.3850213000005,6758.25726,0.23602921839723193,4,4,513.0121806902704,1005.5038741529299,2.769665696413254,0.06958791078079728
Duke Pine,5273.1358865,Ecosystem,818.6880008667041,1903.6718445069976,18342.423509,23615.5593955,0.252689189764621,4,4,2072.249148710597,4061.6083314727703,2.54464377016686,0.08433646761868703
EucFACE,308,Ecosystem,430.45317980008,1181.368545374389,7725,8033,0.039096234407866415,3,3,1257.3470403989504,2464.4001991819428,0.24496021392969838,0.8293283598709162
GiFACE,94.40999999999985,Ecosystem,784.9166708409244,586.7975879509049,4453.29,4547.7,0.02097846179781933,3,3,980.0130557237491,1920.8255892185482,0.09633545129689845,0.9320380471744132
Jasper Ridge FACE,296.5,Ecosystem,128.06121700186984,179.0477752451842,2129.3,2425.8,0.1303680796824273,4,4,220.13128155773316,431.45731185315697,1.346923517193252,0.2707159350188809
Merrit Island,692.1000000000004,Ecosystem,377.0427031517783,383.90156290382566,5023.2,5715.3,0.12907960848959923,8,8,538.090707966603,1054.6577876145418,1.286214368234279,0.2392739320631059
Nevada FACE,239.44500000000005,Ecosystem,156.14347041423156,121.76153358101234,1006.582,1246.027,0.21339965625107965,3,3,198.0067029496729,388.09313778135885,1.2092772438156274,0.3501093249045877
New Zealand,80.05146210000021,Ecosystem,141.35882418607005,210.36088979863212,3179.3347971,3259.3862592,0.02486692199731577,3,3,253.44431564377314,496.75085866179535,0.31585424157831965,0.7820276127079306
ORNL,828.2144999999982,Ecosystem,403.99267730805974,397.1166860216932,14250.512,15078.726499999999,0.05649207351785913,3,3,566.4907286402719,1110.3218281349327,1.4620089228784607,0.2812421688361702
PHACE,254.25199999999995,Ecosystem,96.70822689926642,210.34781545632939,2777,3031.252,0.08760452717259044,5,5,231.51389724431232,453.76723859885215,1.098214850280424,0.33377580037483184
TasFACE,876.8311110999998,Ecosystem,239.1402947597386,314.9827452890144,4076.2433333000004,4953.0744444,0.19483267103494514,6,6,395.4771932837326,775.1352988361159,2.217147097205484,0.07740542651573847
